Period (s),Power (dB[m^2/s^4/Hz])
0.02,-100.0
0.0218101546533,-102.0
0.0237841423001,-103.0
0.025936791093,-104.0
0.0282842712475,-105.0
0.0308442165082,-109.0
0.0336358566101,-110.0
0.0366801617282,-111.0
0.04,-110.0
0.0436203093066,-110.0
0.0475682846001,-110.0
0.051873582186,-110.0
0.0565685424949,-109.0
0.0616884330163,-109.0
0.0672717132203,-108.0
0.0733603234564,-108.0
0.08,-108.0
0.0872406186132,-108.0
0.0951365692002,-109.0
0.103747164372,-110.0
0.11313708499,-111.0
0.123376866033,-112.0
0.134543426441,-113.0
0.146720646913,-115.0
0.16,-116.0
0.174481237226,-118.0
0.1902731384,-118.0
0.207494328744,-117.0
0.22627416998,-116.0
0.246753732065,-116.0
0.269086852881,-115.0
0.293441293825,-115.0
0.32,-115.0
0.348962474453,-116.0
0.380546276801,-117.0
0.414988657488,-118.0
0.452548339959,-119.0
0.493507464131,-120.0
0.538173705762,-121.0
0.586882587651,-121.0
0.64,-121.0
0.697924948906,-120.0
0.761092553602,-119.0
0.829977314977,-118.0
0.905096679919,-116.0
0.987014928261,-115.0
1.07634741152,-113.0
1.1737651753,-112.0
1.28,-110.0
1.39584989781,-108.0
1.5221851072,-107.0
1.65995462995,-106.0
1.81019335984,-106.0
1.97402985652,-106.0
2.15269482305,-106.0
2.3475303506,-106.0
2.56,-106.0
2.79169979562,-107.0
3.04437021441,-106.0
3.31990925991,-105.0
3.62038671968,-104.0
3.94805971304,-102.0
4.3053896461,-101.0
4.69506070121,-101.0
5.12,-101.0
5.58339959125,-103.0
6.08874042881,-104.0
6.63981851981,-107.0
7.24077343935,-109.0
7.89611942609,-112.0
8.6107792922,-115.0
9.39012140242,-118.0
10.24,-120.0
11.1667991825,-121.0
12.1774808576,-122.0
13.2796370396,-122.0
14.4815468787,-121.0
15.7922388522,-121.0
17.2215585844,-120.0
18.7802428048,-120.0
20.48,-119.0
22.333598365,-119.0
24.3549617153,-119.0
26.5592740793,-118.0
28.9630937574,-118.0
31.5844777044,-117.0
34.4431171688,-117.0
37.5604856097,-116.0
40.96,-116.0
44.66719673,-115.0
48.7099234305,-115.0
53.1185481585,-114.0
57.9261875148,-114.0
63.1689554087,-114.0
68.8862343376,-113.0
75.1209712193,-113.0
81.92,-112.0
89.3343934599,-112.0
97.419846861,-111.0
106.237096317,-111.0
115.85237503,-110.0
126.337910817,-110.0
137.772468675,-109.0
150.241942439,-109.0
163.84,-108.0
178.66878692,-108.0
194.839693722,-107.0
212.474192634,-107.0
231.704750059,-105.0
252.675821635,-105.0
275.54493735,-105.0
300.483884877,-105.0
327.68,-104.0
357.33757384,-104.0
389.679387444,-104.0
424.948385268,-104.0
463.409500118,-101.0
505.35164327,-101.0
551.089874701,-101.0
600.967769755,-101.0
655.36,-101.0
