Period (s),Power (dB[m^2/s^4/Hz])
0.02,-136.5
0.0218101546533,-137.5
0.0237841423001,-139.5
0.025936791093,-139.5
0.0282842712475,-140.5
0.0308442165082,-145.5
0.0336358566101,-146.5
0.0366801617282,-147.5
0.04,-145.5
0.0436203093066,-146.5
0.0475682846001,-147.5
0.051873582186,-148.5
0.0565685424949,-148.5
0.0616884330163,-152.5
0.0672717132203,-153.5
0.0733603234564,-153.5
0.08,-154.5
0.0872406186132,-154.5
0.0951365692002,-155.5
0.103747164372,-155.5
0.11313708499,-155.5
0.123376866033,-152.5
0.134543426441,-152.5
0.146720646913,-153.5
0.16,-153.5
0.174481237226,-153.5
0.1902731384,-153.5
0.207494328744,-155.5
0.22627416998,-155.5
0.246753732065,-154.5
0.269086852881,-154.5
0.293441293825,-154.5
0.32,-153.5
0.348962474453,-153.5
0.380546276801,-152.5
0.414988657488,-152.5
0.452548339959,-151.5
0.493507464131,-150.5
0.538173705762,-149.5
0.586882587651,-147.5
0.64,-146.5
0.697924948906,-144.5
0.761092553602,-142.5
0.829977314977,-141.5
0.905096679919,-139.5
0.987014928261,-137.5
1.07634741152,-136.5
1.1737651753,-134.5
1.28,-132.5
1.39584989781,-131.5
1.5221851072,-130.5
1.65995462995,-129.5
1.81019335984,-128.5
1.97402985652,-126.5
2.15269482305,-124.5
2.3475303506,-123.5
2.56,-121.5
2.79169979562,-120.5
3.04437021441,-119.5
3.31990925991,-118.5
3.62038671968,-117.5
3.94805971304,-117.5
4.3053896461,-118.5
4.69506070121,-117.5
5.12,-116.5
5.58339959125,-117.5
6.08874042881,-118.5
6.63981851981,-122.5
7.24077343935,-123.5
7.89611942609,-127.5
8.6107792922,-130.5
9.39012140242,-134.5
10.24,-138.5
11.1667991825,-143.5
12.1774808576,-146.5
13.2796370396,-149.5
14.4815468787,-150.5
15.7922388522,-151.5
17.2215585844,-153.5
18.7802428048,-155.5
20.48,-158.5
22.333598365,-163.5
24.3549617153,-166.5
26.5592740793,-170.5
28.9630937574,-173.5
31.5844777044,-175.5
34.4431171688,-176.5
37.5604856097,-177.5
40.96,-178.5
44.66719673,-178.5
48.7099234305,-178.5
53.1185481585,-178.5
57.9261875148,-178.5
63.1689554087,-178.5
68.8862343376,-178.5
75.1209712193,-178.5
81.92,-178.5
89.3343934599,-178.5
97.419846861,-177.5
106.237096317,-177.5
115.85237503,-177.5
126.337910817,-177.5
137.772468675,-177.5
150.241942439,-177.5
163.84,-176.5
178.66878692,-176.5
194.839693722,-176.5
212.474192634,-176.5
231.704750059,-172.5
252.675821635,-172.5
275.54493735,-172.5
300.483884877,-172.5
327.68,-168.5
357.33757384,-168.5
389.679387444,-168.5
424.948385268,-168.5
463.409500118,-156.5
505.35164327,-156.5
551.089874701,-156.5
600.967769755,-156.5
655.36,-156.5
